"id","name","category","command","description","subcategory","filled_example","notes","oscp_relevance","examples","educational","related_commands","troubleshooting","flag_explanations","prerequisites","alternatives","next_steps"
"check-remote-registry-service","Check Remote Registry Service Status","enumeration","Get-Service -ComputerName <TARGET> -Name RemoteRegistry","Query Remote Registry service status on target system - required for PsLoggedOn and Get-NetLoggedon to enumerate logged-on users","","Get-Service -ComputerName WS01.corp.com -Name RemoteRegistry","REMOTE REGISTRY SERVICE:
Required for PsLoggedOn and Get-NetLoggedon to work.

HOW IT WORKS:
Allows remote access to registry hives (HKLM, HKCU, HKEY_USERS) via RPC.
Tools read HKEY_USERS:
each loaded SID = logged-on user.

SERVICE STARTUP TYPES:
- Disabled:
Must be changed to Manual/Automatic first
- Manual:
Default on servers (auto-starts on connection)
- Automatic:
Always running

DEFAULT CONFIGURATIONS:
- Windows 8+ workstations:
Disabled
- Server 2012+:
Manual (good for attackers)

KEY INSIGHT:
If you have local admin + service is Manual → it auto-starts on connection (no explicit start needed).

COMMAND:
  Get-Service -ComputerName <TARGET> -Name RemoteRegistry

OSCP STRATEGY:
Check service status BEFORE attempting enumeration.
Saves time vs blind attempts.

Time:
<5 seconds per target","high","","","","{""Access denied"": ""Need local admin on target OR specific WMI query permissions. Try alternatives: PsExec + local query"", ""RPC server unavailable"": ""Target firewall blocking. Check basic connectivity: Test-Connection <TARGET>"", ""Cannot find service"": ""Service name case-sensitive on some PowerShell versions. Try: Get-Service -ComputerName <TARGET> | Where-Object {$_.Name -eq 'RemoteRegistry'}""}","{""-ComputerName"": ""Target remote computer to query service status on. Uses WMI/CIM for remote query."", ""-Name RemoteRegistry"": ""Service name for Remote Registry (display name: 'Remote Registry', service name: 'RemoteRegistry').""}","[""nmap-service-scan"", ""crackmapexec-smb-framework""]","[""get-service""]","[""enable-remote-registry"", ""ad-sam-dump-reg-save""]"
"enable-remote-registry","Enable Remote Registry Service","enumeration","sc.exe \\<TARGET> config RemoteRegistry start= auto && sc.exe \\<TARGET> start RemoteRegistry","Remotely enable and start Remote Registry service to allow session enumeration via PsLoggedOn or Get-NetLoggedon (requires local admin access)","","sc.exe \\WORKSTATION05.corp.com config RemoteRegistry start= auto && sc.exe \\WORKSTATION05.corp.com start RemoteRegistry","ENABLE REMOTE REGISTRY REMOTELY:
Requires local admin access on target.

COMMAND:
  sc.exe \\<TARGET> config RemoteRegistry start= auto && sc.exe \\<TARGET> start RemoteRegistry

WHAT THIS DOES:
1.

Change startup type to Automatic (persistent)

2.

Start service immediately

WHY THIS WORKS:
Local admin → modify services via SCM → enable Remote Registry → use for enumeration.

SERVICE STATES:
- Disabled:
Must change to Manual/Auto first (this command)
- Manual:
Just start it (no config change needed)
- Automatic:
Already running (no action needed)

OPSEC NOTE:
Enabling services logged (Event ID 7040).
Prefer targets where service already Manual.

OSCP USE CASE:
You have admin but Remote Registry disabled → enable it → run PsLoggedOn/Get-NetLoggedon.

Time:
<10 seconds","high","","","","{""Access denied"": ""Verify local admin access: dir \\\\<TARGET>\\C$. If fails, you don't have admin rights."", ""RPC server unavailable"": ""Firewall blocking or SMB disabled. Test: Test-NetConnection <TARGET> -Port 445"", ""Service fails to start"": ""Check dependencies: sc.exe \\\\<TARGET> qc RemoteRegistry. Dependencies must be running first."", ""Syntax error"": ""PowerShell interprets 'sc' as Set-Content alias. Use sc.exe to force Windows binary.""}","{""sc.exe"": ""Service Control command-line utility (sc.exe vs sc alias in PowerShell - .exe forces Windows binary)"", ""\\\\\\\\<TARGET>"": ""UNC path prefix for remote service management"", ""config RemoteRegistry start= auto"": ""Change service startup type to Automatic (service starts at boot). Note: space after 'start=' is required."", ""start RemoteRegistry"": ""Immediately start the service (doesn't wait for reboot)""}","[""check-remote-registry-service"", ""crackmapexec-validate-admin""]","","[""ad-sam-dump-reg-save"", ""crackmapexec-sam-dump""]"
"query-hkey-users-remote","Query Remote HKEY_USERS Hive","enumeration","reg query \\<TARGET>\HKU","Manually enumerate logged-on users by querying HKEY_USERS hive on remote system via Remote Registry (each SID = logged-on user)","","reg query \\FILESERVER01\HKU","MANUAL SESSION ENUMERATION:
Alternative to PsLoggedOn/Get-NetLoggedon.

HOW IT WORKS:
When users log in (interactive, RDP, RunAs), their NTUSER.DAT registry hive loads into HKEY_USERS\<SID>.
Each SID = active session.

COMMAND:
  reg query \\<TARGET>\HKU

SYSTEM SIDS TO IGNORE:
- S-1-5-18:
SYSTEM (always present)
- S-1-5-19:
LOCAL SERVICE
- S-1-5-20:
NETWORK SERVICE
- S-1-5-21-...-500:
Built-in Administrator (may not be logged in)

DOMAIN USER SIDS:
Start with S-1-5-21- and end with RID >1000.

SID-TO-NAME CONVERSION:
WMIC:
  wmic useraccount where sid='<SID>' get name

PowerShell:
  (New-Object System.Security.Principal.SecurityIdentifier('<SID>')).Translate([System.Security.Principal.NTAccount]).Value

OSCP ADVANTAGE:
Manual reg.exe often bypasses detection when automated tools blocked.

Time:
<10 seconds per target","medium","","","","{""Access denied"": ""Remote Registry service not running OR insufficient permissions. Start service: sc.exe \\\\<TARGET> start RemoteRegistry"", ""Network path not found"": ""SMB disabled or firewall blocking. Verify: Test-NetConnection <TARGET> -Port 445"", ""Too many SIDs"": ""Filter for domain users only: reg query \\\\<TARGET>\\HKU | findstr S-1-5-21""}","{""reg query"": ""Windows registry query command-line utility"", ""\\\\\\\\<TARGET>\\\\HKU"": ""Remote registry path. HKU = HKEY_USERS hive (abbreviated form). Lists all loaded user profile registry hives.""}","[""check-remote-registry-service""]","[""psloggedon""]",""
"john-single-crack","John Single Crack Mode","enumeration","john --single <HASH_FILE>","Single crack mode using username-based variations","","john --single shadow.txt","OSCP TIP:
Always run single mode FIRST - it's fast (<1 minute) and surprisingly effective.

Common successes:
username123, Username1!, Username@2023.

Requires username:hash format.

Most effective on /etc/shadow dumps where GECOS fields provide hints (full names, departments).","medium","","","","","{""--single"": ""Single crack mode - Generates password candidates based on username and GECOS fields. Most effective when hash file contains usernames (user:hash format). JtR applies intelligent mutations to username (john \u2192 john1, john123, John, JOHN, nhoj, etc.). Very fast - try FIRST before wordlist attacks. Success rate ~5-15% for weak passwords.""}","","","[""john-wordlist-attack"", ""john-show-cracked""]"
"john-wordlist-attack","John Wordlist Attack","enumeration","john --wordlist=<WORDLIST> <HASH_FILE>","Dictionary attack using wordlist","","john --wordlist=/usr/share/wordlists/rockyou.txt hashes.txt","Standard dictionary attack.

Run after --single mode.

Use rockyou.txt for comprehensive coverage (14M passwords).

JtR auto-detects hash format in most cases.","high","","","","","{""--wordlist"": ""Wordlist mode - Straight dictionary attack without mutations. Each password from wordlist tested as-is. Faster than rules mode but less coverage. Use for initial quick scan with common password lists. Default wordlist (if no path): /usr/share/john/password.lst (3,559 passwords).""}","","[""hashcat-md5-crack"", ""hashcat-ntlm-crack""]","[""john-show-cracked"", ""john-rules-attack""]"
"john-rules-attack","John Rule-Based Attack","enumeration","john --wordlist=<WORDLIST> --rules=<RULESET> <HASH_FILE>","Apply mutation rules to wordlist","","john --wordlist=/usr/share/wordlists/rockyou.txt --rules=sshRules ssh.hash","OSCP TIP:
Rule-based attacks crack passwords not in wordlist.

Users modify base words to meet policies (Password → Password123!).

Custom rules in /etc/john/john.conf:
[List.Rules:sshRules] then rule functions.

Default rules often sufficient - try before custom.","high","","","","","{""--rules"": ""Rules mode - Apply mutation rules from /etc/john/john.conf. Rules modify wordlist passwords (append, prepend, capitalize, etc.). Built-in rules: Wordlist (default), Extra, Jumbo, KoreLogic, All. Custom rules: Add [List.Rules:RuleName] section to john.conf. Rules dramatically increase coverage (password \u2192 Password1!, password123, etc.).""}","[""john-test-rules""]","[""hashcat-rule-attack"", ""hashcat-best64-rules""]","[""john-show-cracked""]"
"john-format-specify","John Specify Hash Format","enumeration","john --format=<FORMAT> --wordlist=<WORDLIST> <HASH_FILE>","Explicitly specify hash format (when auto-detect fails)","","john --format=raw-md5 --wordlist=/usr/share/wordlists/rockyou.txt hashes.txt","List all formats:
john --list=formats | grep -i <hash_type>.

Common formats:
raw-md5 (plain MD5), nt (NTLM), Raw-SHA256, bcrypt, md5crypt ($1$), sha512crypt ($6$).

Auto-detect usually works but explicit format avoids ambiguity.","medium","","","","","{""--format"": ""Hash format - Override auto-detection. Required when: 1) Auto-detect fails 2) Multiple hash types possible (MD2/MD4/MD5 look identical) 3) Custom format needed. List formats: john --list=formats. Common: raw-md5, raw-sha1, raw-sha256, nt (NTLM), bcrypt, descrypt, md5crypt, sha512crypt.""}","","",""
"john-show-cracked","Show Cracked Passwords","enumeration","john --show <HASH_FILE>","Display previously cracked passwords from john.pot","","john --show hashes.txt","OSCP REQUIREMENT:
Document all cracked passwords.

Always run --show after successful crack.

JtR saves to ~/.john/john.pot permanently.

Combine with --format if needed:
john --show --format=raw-md5 hashes.txt","high","","","","","{""--show"": ""Show cracked - Display passwords from ~/.john/john.pot (persistent storage). JtR automatically saves cracked hashes. Format: username:password or hash:password. Use for: 1) Viewing results 2) Extracting passwords for documentation 3) Checking crack status.""}","[""john-wordlist-attack""]","[""hashcat-show-cracked""]","[""crackmapexec-validate-admin"", ""evil-winrm-shell"", ""ssh-login-password""]"
"john-ssh-key-crack","Crack SSH Private Key Passphrase","enumeration","john --wordlist=<WORDLIST> --rules=<RULESET> <SSH_HASH>","Crack SSH private key passphrase (supports all ciphers)","","john --wordlist=custom_wordlist.txt --rules=sshRules ssh.hash","OSCP TIP:
JtR supports MORE SSH ciphers than Hashcat.

Use JtR for SSH keys (especially modern keys with aes-256-ctr).

Extract hash:
ssh2john id_rsa > ssh.hash.

Build custom wordlist from user information (notes.txt, common words, dates).

Apply rules based on password policy.","high","","","","","{""SSH format"": ""John automatically detects SSH format from ssh2john output. Supports ALL SSH ciphers including aes-256-ctr (which Hashcat does NOT support). No --format flag needed for ssh2john output.""}","[""ssh2john-extract""]","[""hashcat-ssh-key-crack""]","[""john-show-cracked"", ""ssh-connect-password""]"
"john-keepass-crack","Crack KeePass Database","enumeration","john --wordlist=<WORDLIST> --rules=<RULESET> <KEEPASS_HASH>","Crack KeePass master password","","john --wordlist=/usr/share/wordlists/rockyou.txt --rules=sshRules keepass.hash","Extract hash:
keepass2john Database.kdbx > keepass.hash.

Remove 'Database:' prefix.

KeePass uses slow KDF - focused wordlists essential.

User password patterns critical (reuse with policy modifications).","high","","","","","{""KeePass format"": ""John auto-detects KeePass format from keepass2john output. Supports KeePass 1.x and 2.x. CPU-based cracking often comparable to GPU for KeePass (slow algorithm by design).""}","[""keepass2john-extract""]","[""hashcat-keepass-crack""]","[""john-show-cracked"", ""ssh-login-password"", ""evil-winrm-shell""]"
"john-incremental-mode","John Incremental Mode (Brute-Force)","enumeration","john --incremental <HASH_FILE>","Brute-force attack with intelligent character frequency","","john --incremental hashes.txt","Last resort attack - extremely slow.

Use only when:
1) No wordlist success 2) Short password suspected 3) Fast hash (MD5, NTLM).

NOT viable for OSCP exam time constraints unless very short password (<6 chars).","low","","","","","{""--incremental"": ""Incremental mode - Brute-force with character frequency analysis. NOT pure brute-force - uses statistical model based on common passwords. Tries likely character combinations first (e \u2192 a \u2192 o vs rare combos). Modes: ASCII (all printable), Alnum (alphanumeric), Digits (numbers only), LowerNum, UpperNum. Specify: --incremental=Digits. Very slow - use as last resort.""}","[""john-wordlist-attack"", ""john-rules-attack""]","[""hashcat-increment"", ""hashcat-mask-attack""]","[""john-show-cracked""]"
"john-status","John Show Status","enumeration","john --status","Display status of running/paused cracking session","","","Monitor long attacks:
john --status.

During active session, press any key for instant status update (no need for separate command).

Critical for OSCP time management - check ETA regularly.","medium","","","","","{""--status"": ""Status display - Show progress of current/last session. Information: Time running, Progress %, Passwords tested, Guesses (cracked), Current word, ETA. Use to monitor long-running attacks. Press any key during run to see status without --status flag.""}","","",""
"john-restore-session","John Restore Session","enumeration","john --restore","Resume previously interrupted cracking session","","","JtR auto-saves to ~/.john/john.rec.

Resume with:
john --restore.

Useful for multi-hour attacks interrupted by network issues or intentional pause.

Session file cleared after successful completion.","medium","","","","","{""--restore"": ""Restore session - Resume from last checkpoint. JtR auto-saves progress to ~/.john/john.rec. Restore after: Ctrl+C, crash, reboot. Continues from exact position. All parameters restored automatically (no need to specify wordlist, rules, etc.).""}","","",""
"john-list-formats","List All Supported Formats","enumeration","john --list=formats | grep -i <SEARCH>","List all hash formats supported by John","","john --list=formats | grep -i ssh","Reference command - find correct format name.

Examples:
raw-md5, raw-sha256, nt (NTLM), bcrypt, SSH, KeePass.

Grep for hash type:
john --list=formats | grep -i keepass","medium","","","","","{""--list=formats"": ""List formats - Display all supported hash types. Use grep to filter (john --list=formats | grep -i md5). Common prefixes: raw- (simple hashes), dynamic- (complex formats), crypt- (Unix crypt variants). Hundreds of formats supported.""}","","",""
"john-add-custom-rules","Add Custom Rules to john.conf","enumeration","sudo sh -c 'cat <RULE_FILE> >> /etc/john/john.conf'","Append custom rules to John configuration","","sudo sh -c 'cat custom.rule >> /etc/john/john.conf'","OSCP TIP:
Create custom rules based on password policy.

Example:
Policy requires capital + 3 digits + special → Rules:
c $1 $3 $7 $!, c $1 $2 $3 $!.

Format:
[List.Rules:sshRules] then c $1 $3 $7 $!.

Test first:
echo 'password' > test.txt && john --wordlist=test.txt --rules=sshRules --stdout (verify mutations).","high","","","","","{""Rule format"": ""Rules must start with [List.Rules:RuleName] header, then one rule per line. Rule syntax: c=capitalize, $X=append X, ^X=prepend X, d=duplicate, r=reverse, etc. See /etc/john/john.conf for examples. Reference: john --list=rules""}","[""john-test-rules""]","",""
"ad-sid-whoami-extract","Extract Domain SID Using whoami","enumeration","whoami /user","Extract the current user's SID, from which the Domain SID can be derived by removing the RID (last portion after final hyphen).","domain-reconnaissance","","OSCP METHODOLOGY:
This is the FASTEST and STEALTHIEST method to obtain the Domain SID during an exam.

Unlike PowerView or other PowerShell tools, whoami is a native Windows binary that exists on every system since Windows XP and generates minimal security event logs.

It requires NO special permissions, NO PowerShell execution policy bypasses, and NO external tool downloads.

MANUAL ALTERNATIVE:
If whoami is restricted (rare), use 'wmic useraccount get name,sid' to list all local and domain accounts with their SIDs.

Domain accounts will share the same Domain SID prefix.

WHY THIS MATTERS FOR SILVER/GOLDEN TICKETS:
The Domain SID is a REQUIRED parameter when forging Kerberos tickets with Mimikatz or Rubeus.

Mimikatz's kerberos::golden module needs '/sid:S-1-5-21-DOMAIN-DOMAIN-DOMAIN' (WITHOUT the RID).

If you include the RID by mistake, the forged ticket will be invalid and authentication will fail with 'KRB_AP_ERR_MODIFIED'.

SID STRUCTURE EXPLAINED:
- S-1:
SID revision (always 1)

- 5:
SECURITY_NT_AUTHORITY (Windows security subsystem)

- 21:
Domain or local computer account (vs.

18=SYSTEM, 32=Built-in)

- Three 10-digit segments:
Domain identifier (unique per AD domain)

- Final segment (RID):
User/group/computer relative ID within domain

COMMON OSCP EXAM SCENARIO:
You've compromised a domain user account (e.g., via password spraying or AS-REP roasting).

You need to create a Silver ticket to access an HTTP SPN on a web server.

First step:
Extract Domain SID with whoami /user.

Copy everything EXCEPT the last segment after the final hyphen.

This becomes your '/sid:' parameter.

Time:
<10 seconds total (5 sec to run command, 5 sec to extract Domain SID by removing RID)

DETECTION EVASION:
whoami /user generates Event ID 4688 (Process Creation) but this is extremely common and typically not monitored.

Unlike PowerShell cmdlets that may trigger AMSI or script block logging, whoami is a compiled binary that bypasses these defenses.

OSCP EXAM TIP:
Write the Domain SID down immediately after extraction and store it in your enumeration notes.

You'll need it multiple times if you perform Silver tickets, Golden tickets, or SID history attacks.

Don't waste time re-extracting it.

CROSS-REFERENCE WITH OTHER ENUMERATION:
If you've run PowerView's Get-NetDomain, verify the Domain SID matches.

If they differ, you may be on a child domain or in a forest trust situation.

Always use the Domain SID of the target domain where you're forging tickets.","high","","","","{""Command not recognized in PowerShell"": ""PowerShell wraps whoami differently. Use: cmd /c whoami /user OR use Get-LocalUser | Select Name,SID"", ""Need Domain SID from local machine account"": ""Computer accounts also have domain SID. Same extraction method applies - remove RID from computer account SID"", ""SID format confusion (which part is Domain SID)"": ""FORMULA: S-1-5-21-[KEEP]-[KEEP]-[KEEP]-[REMOVE]. The three middle segments (each 10 digits) are the Domain SID. The last segment is the user's RID (unique identifier within domain). For Silver/Golden tickets, you need ONLY the Domain SID (S-1-5-21-KEEP-KEEP-KEEP)."", ""Verifying extracted Domain SID is correct"": ""Use 'whoami /all' to see group SIDs. All domain groups should start with the same S-1-5-21-XXXXXXXXXX-XXXXXXXXXX-XXXXXXXXXX prefix (your Domain SID). If they don't match, you extracted incorrectly.""}","{""/user"": ""Displays the user name along with the Security Identifier (SID) in the format S-1-5-21-DOMAIN-DOMAIN-DOMAIN-RID. This is the most reliable built-in Windows method to obtain SID information without requiring PowerShell or external tools. The Domain SID is everything except the RID (last segment). For example, if output shows 'S-1-5-21-1987370270-658905905-1781884369-1105', the Domain SID is 'S-1-5-21-1987370270-658905905-1781884369' (remove '-1105'). This works from any privilege level and doesn't require special permissions. Essential for OSCP exams when PowerShell remoting may be restricted or you need a quick, stealthy method that doesn't generate suspicious logs. Time: <5 seconds.""}","[""crackmapexec-validate-admin""]","[""ad-sid-powerview-domain"", ""ad-sid-wmic-extract""]","[""ad-silver-ticket-mimikatz-create"", ""ad-golden-ticket-mimikatz-create""]"
"ad-sid-powerview-domain","Extract Domain SID Using PowerView","enumeration","Get-DomainSID","Directly retrieve the Domain SID of the current or specified domain using PowerView. Returns only the Domain SID without user RID, ready for use in ticket forgery.","domain-reconnaissance","","OSCP METHODOLOGY:
PowerView's Get-DomainSID is the MOST EFFICIENT method when PowerShell is available and AMSI is not blocking.

It eliminates manual parsing and reduces operator error.

However, it requires importing PowerView, which may trigger AV/EDR in realistic environments.

For OSCP exams, this is typically safe as exam machines are not running EDR, but always have a fallback method (whoami /user).

MANUAL ALTERNATIVE:
If PowerView unavailable, use ADSI directly in PowerShell:
  $root = [ADSI]""LDAP://RootDSE""
  $domain = [ADSI]""LDAP://$($root.defaultNamingContext)""
  $domain.objectSid | ForEach-Object { (New-Object Security.Principal.SecurityIdentifier($_, 0)).Value }

This achieves the same result without PowerView dependency.

WHEN TO USE THIS VS whoami /user:
- USE Get-DomainSID:
  When you have PowerShell access, PowerView is already loaded (e.g., during enumeration phase), or you need to query multiple domains in a forest.

- USE whoami /user:
  When PowerShell is restricted, AMSI is blocking, PowerView is unavailable, or you need maximum stealth (native binary, minimal logs).

POWERVIEW CONTEXT:
Get-DomainSID is part of PowerView's domain enumeration suite.

If you're already running Get-NetDomain, Get-NetUser, Get-NetComputer for reconnaissance, adding Get-DomainSID is a natural extension.

PowerView functions are designed to chain together - output from Get-DomainSID can be piped into ticket forgery automation scripts.

CROSS-DOMAIN FORESTS:
In environments with parent/child domains or forest trusts, you may encounter different Domain SIDs.

Get-DomainSID defaults to the current user's domain.

To target a specific domain:
  Get-DomainSID -Domain child.corp.com

Verify the correct domain with Get-NetDomain to see DomainName property.

OSCP EXAM TIP:
If you're using PowerView for enumeration, cache the Domain SID in a variable immediately:
  $DomainSID = Get-DomainSID
  Write-Host ""[+] Domain SID:
$DomainSID"" -ForegroundColor Green

This prevents re-querying and speeds up ticket forgery later.

Time:
<5 seconds (2 sec if PowerView pre-loaded, +10 sec if you need to import PowerView first)

DETECTION:
Generates LDAP queries to the domain controller (Event ID 4662 on DC:
Directory Service Access).

Modern EDR may flag PowerView import (AMSI scan), but LDAP queries themselves are common and rarely alerted.

If stealth is critical, use whoami /user instead.

COMPARISON WITH Get-NetDomain:
Get-NetDomain returns a DomainSID property among many others (DomainControllers, Forest, DomainName, etc.).

Get-DomainSID extracts ONLY the SID.

Use Get-NetDomain for comprehensive enumeration, Get-DomainSID for quick SID extraction.","high","","","","{""PowerView not loaded"": ""Import PowerView: Import-Module C:\\Tools\\PowerView.ps1 OR dot-source it: . .\\PowerView.ps1. If AMSI blocks, use obfuscation: Invoke-Obfuscation with AST method OR manually rename functions."", ""LDAP query timeout"": ""DC may be unreachable. Verify DC connectivity: Test-NetConnection -ComputerName DC1.corp.com -Port 389 (LDAP). If firewall blocks LDAP, fall back to ad-sid-whoami-extract method."", ""Need SID of different domain in forest"": ""Use -Domain parameter: Get-DomainSID -Domain child.corp.com. Requires trust relationship and query permissions on target domain."", ""PowerShell execution policy blocking"": ""Bypass: powershell -ExecutionPolicy Bypass -File script.ps1 OR powershell -c \""IEX (Get-Content PowerView.ps1 -Raw); Get-DomainSID\""""}","{""Get-DomainSID"": ""PowerView function that directly returns the Domain SID (S-1-5-21-XXXXXXXXXX-XXXXXXXXXX-XXXXXXXXXX) without the user RID appended. This is the CLEANEST method because it outputs ONLY the Domain SID - no parsing required. Internally, it queries the 'ObjectSID' attribute of the domain object in Active Directory via LDAP. Unlike whoami /user which requires manual RID removal, this returns the exact value needed for Mimikatz's '/sid:' parameter. Requires PowerView to be imported (Import-Module PowerView.ps1). Optional parameter: -Domain <domain.com> to query a different domain in a multi-domain forest. Time: <2 seconds after PowerView is loaded.""}","","[""ad-sid-whoami-extract"", ""ad-sid-wmic-extract""]","[""ad-silver-ticket-mimikatz-create"", ""ad-golden-ticket-mimikatz-create""]"
"ad-sid-wmic-extract","Extract Domain SID Using WMIC","enumeration","wmic useraccount get name,sid","List all local and domain user accounts with their SIDs using Windows Management Instrumentation Command-line (WMIC). Domain accounts share the same Domain SID prefix.","domain-reconnaissance","","OSCP METHODOLOGY:
WMIC is a LEGACY method that's useful when whoami is unavailable and PowerShell is restricted.

It's slower than whoami /user and requires more parsing, but it provides a comprehensive view of all accounts on the system.

Main advantage:
You can see ALL domain accounts at once and verify the Domain SID is consistent across them (good for validation).

MANUAL ALTERNATIVE:
If WMIC deprecated/removed, use PowerShell equivalent:
  Get-WmiObject -Class Win32_UserAccount | Select-Object Name, SID, Domain | Format-Table

This achieves identical results using PowerShell's WMI cmdlets.

WHEN TO USE THIS METHOD:
- VALIDATION:
  When you've extracted Domain SID with whoami /user and want to verify it's correct by comparing against other domain accounts

- BULK EXTRACTION:
  When you need SIDs for multiple domain users (e.g., building a target list)

- LEGACY SYSTEMS:
  Older Windows servers (2008/2012) where PowerShell may be limited but WMIC is fully functional

WHEN NOT TO USE:
- SPEED:
  whoami /user is faster (single account vs.

all accounts)

- STEALTH:
  WMIC generates more WMI events than whoami

- MODERN SYSTEMS:
  Windows 10 21H1+ shows deprecation warning

PARSING DOMAIN SID FROM OUTPUT:
1.

Identify domain accounts (exclude local SAM accounts like 'Administrator', 'Guest' if they have different SID prefix)

2.

Pick any domain account's SID (e.g., CORP\jeff:
S-1-5-21-1987370270-658905905-1781884369-1105)

3.

Remove RID (last segment):
S-1-5-21-1987370270-658905905-1781884369

4.

This is the Domain SID

VALIDATION TECHNIQUE:
All domain accounts should have the SAME Domain SID (first four segments).

If you see different Domain SIDs, you may be dealing with:
- Local vs.

domain accounts (local accounts have machine-specific SID)
- Multi-domain forest (child domain accounts have different Domain SID)
- Migrated accounts (SID history may show old SIDs)

OSCP EXAM TIP:
WMIC is NOT the first choice for Domain SID extraction (use whoami /user or Get-DomainSID instead).

However, it's valuable when you need to enumerate multiple domain user SIDs simultaneously (e.g., for SID history analysis or identifying high-value targets like RID 500 domain admin).

Time:
5-10 seconds (slower than whoami due to WMI query overhead and parsing all accounts)

DETECTION:
Generates Event ID 4688 (Process Creation for WMIC.exe) and WMI activity logs (Event ID 5857-5861 in Microsoft-Windows-WMI-Activity/Operational).

More verbose than whoami but still common activity.

EDR may flag unusual WMI queries, but useraccount enumeration is standard.

COMPATIBILITY NOTE:
WMIC was deprecated in Windows 10 version 21H1 (August 2021) and removed in some Windows 11 builds.

Always test availability with 'wmic /?'.

If unavailable, use PowerShell or whoami alternatives.","medium","","","","{""WMIC deprecated warning (Windows 10 21H1+)"": ""WMIC still functions but Microsoft recommends PowerShell alternatives. If WMIC is removed (rare), use: Get-LocalUser | Select-Object Name, SID OR Get-ADUser -Filter * -Properties SID | Select-Object Name, SID"", ""Too many accounts listed (parse domain accounts only)"": ""Filter domain accounts: wmic useraccount where \""domain='CORP'\"" get name,sid. Replace 'CORP' with your NetBIOS domain name. This excludes local SAM accounts."", ""Extract Domain SID from multiple accounts"": ""Compare SIDs of domain accounts. The first four hyphen-separated segments (S-1-5-21-XXXXXXXXXX-XXXXXXXXXX-XXXXXXXXXX) should be identical for all domain accounts. This is your Domain SID. The final segment (RID) will differ per account: 500=Administrator, 501=Guest, 502=krbtgt, 1000+ custom users."", ""WMIC hangs or times out"": ""WMI service (winmgmt) may be stopped. Check: sc query winmgmt. Start if needed: net start winmgmt. If remote WMI query, verify firewall allows WMI (port 135 + dynamic RPC ports).""}","{""wmic"": ""Windows Management Instrumentation Command-line tool - built-in utility for querying WMI classes. Available on all Windows systems since Windows XP (deprecated in Windows 10 21H1 but still functional for backward compatibility). Requires local administrator or equivalent WMI permissions in most configurations. Generates Event ID 4688 (Process Creation) - same as whoami, minimal suspicion."", ""useraccount"": ""WMI class representing user accounts (both local and domain). Queries Win32_UserAccount WMI class which enumerates all user accounts visible to the system. This includes local SAM accounts AND cached domain accounts. Each account entry includes Name, SID, Domain, AccountType, and other properties."", ""get name,sid"": ""Retrieves only the 'Name' and 'SID' properties from the useraccount class. This filters output to show just username and Security Identifier, making it easier to parse. Alternative: 'wmic useraccount list full' shows all properties but is verbose. The SID property displays the full SID including RID - you must manually remove the RID (last segment after final hyphen) to extract Domain SID.""}","","[""ad-sid-whoami-extract"", ""ad-sid-powerview-domain""]","[""ad-silver-ticket-mimikatz-create"", ""ad-golden-ticket-mimikatz-create""]"
"ps-get-group-members-basic","Get Group Members - Basic LDAP Query (PowerShell)","enumeration","$groupResult = LDAPSearch -LDAPQuery ""(&(objectCategory=group)(name=<GROUP_NAME>))""; $group = $groupResult[0]; $group.Properties.member","Query AD group to get direct members (Distinguished Names) - first step in nested group enumeration","","$groupResult = LDAPSearch -LDAPQuery ""(&(objectCategory=group)(name=Domain Admins))""; $group = $groupResult[0]; $group.Properties.member","FOUNDATION FOR NESTED GROUP ENUMERATION:
MEMBER ATTRIBUTE FORMAT:
Returns Distinguished Names:
  CN=username,CN=Users,DC=corp,DC=com

EACH DN NEEDS INDIVIDUAL QUERY:
- User (leaf node):
Stop
- Group (nested):
Requires recursion

NESTED GROUPS IN ENTERPRISE AD:
Common pattern:
Group contains groups contains users.

OSCP TARGETS:
Groups with 'Service', 'IT', 'Admin' in names.
Often contain privileged accounts buried multiple levels deep.

Time:
5 seconds per query","high","","","","{""Function not recognized"": ""Create LDAPSearch function first using ps-ldapsearch-function command"", ""Index operation failed"": ""Group not found or has no members. Verify group name with: LDAPSearch -LDAPQuery \""(objectCategory=group)\"" | select -ExpandProperty Properties | select cn"", ""No results"": ""Group name incorrect. Try wildcard: (&(objectCategory=group)(name=*<PARTIAL>*))""}","{""(&(objectCategory=group)(name=...))"": ""LDAP filter: AND operator (&) requires BOTH conditions - object must be a group AND name must match"", "".Properties.member"": ""The 'member' attribute contains Distinguished Names (DNs) of all direct group members""}","[""ps-ldapsearch-function""]","[""powerview-get-netgroupmember""]","[""ps-nested-group-check-member-type""]"
